date,port,vessel_type,vessel_availability,open_vessel,availability_date,regional_vessel_supply,active_route_observations,avg_wait_hours,source,source_type
2021-01-01,V.O. Chidambaranar Port (Tuticorin / VOC Port),Supramax,5.0,1.21,2021-01-01,54.01436704882272,31,24.955161290322582,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-01-01,Visakhapatnam Port (Vizag),Capesize,4.07,0.91,2021-01-01,37.28881568078531,31,35.85870967741935,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-01-01,Visakhapatnam Port (Vizag),MR Tanker,5.21,1.15,2021-01-01,57.7014183688223,62,38.17935483870968,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-01-01,Visakhapatnam Port (Vizag),Panamax,6.33,1.37,2021-01-01,77.85201686449341,93,40.98483870967742,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-02-01,Chennai Port,MR Tanker,6.45,1.55,2021-02-01,80.06091961042543,84,25.25702380952381,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-02-01,Chennai Port,Panamax,5.31,1.27,2021-02-01,59.5740290660093,56,26.953928571428573,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-02-01,Chennai Port,Supramax,6.53,1.6,2021-02-01,81.59200531253383,56,22.423750000000002,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-02-01,Kamarajar Port (Ennore),MR Tanker,5.28,1.25,2021-02-01,59.12830006804472,56,27.778750000000002,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-02-01,Kamarajar Port (Ennore),Panamax,4.35,1.07,2021-02-01,42.312200280554336,28,22.68285714285714,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-02-01,Kolkata / Haldia Dock Complex (HDC),Handysize,6.06,1.34,2021-02-01,73.03257393277076,84,38.262976190476195,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-02-01,Kolkata / Haldia Dock Complex (HDC),MR Tanker,6.16,1.39,2021-02-01,74.8764773086329,84,34.850833333333334,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-02-01,Paradip Port,Capesize,6.2,1.42,2021-02-01,75.6411355852883,84,33.435833333333335,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-02-01,Paradip Port,MR Tanker,4.02,0.92,2021-02-01,36.3474025273206,28,33.72071428571429,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-02-01,V.O. Chidambaranar Port (Tuticorin / VOC Port),MR Tanker,6.54,1.61,2021-02-01,81.79951038331896,84,22.039761904761903,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-02-01,V.O. Chidambaranar Port (Tuticorin / VOC Port),Supramax,5.03,1.27,2021-02-01,54.588172356788235,28,18.073214285714286,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-02-01,Visakhapatnam Port (Vizag),Capesize,4.1,0.95,2021-02-01,37.87961405139109,28,30.885357142857142,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-02-01,Visakhapatnam Port (Vizag),MR Tanker,5.26,1.24,2021-02-01,58.76546373283216,56,28.450178571428573,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-02-01,Visakhapatnam Port (Vizag),Panamax,6.25,1.44,2021-02-01,76.47553049091009,84,31.891785714285714,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-03-01,Chennai Port,MR Tanker,6.92,1.71,2021-03-01,88.5614745442876,93,21.16698924731183,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-03-01,Chennai Port,Panamax,5.61,1.36,2021-03-01,64.98105580940816,62,24.708387096774196,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-03-01,Chennai Port,Supramax,6.82,1.65,2021-03-01,86.75231496803728,62,24.51483870967742,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-03-01,Kamarajar Port (Ennore),MR Tanker,5.7,1.41,2021-03-01,66.65340259547763,62,21.613709677419354,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-03-01,Kamarajar Port (Ennore),Panamax,4.47,1.1,2021-03-01,44.52591884130644,31,22.466451612903228,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-03-01,Kolkata / Haldia Dock Complex (HDC),Handysize,6.5,1.47,2021-03-01,81.03209347567142,93,35.10010752688172,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-03-01,Kolkata / Haldia Dock Complex (HDC),MR Tanker,6.67,1.56,2021-03-01,83.99548930766726,93,29.616344086021506,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-03-01,Paradip Port,Capesize,6.59,1.52,2021-03-01,82.63898279385438,93,32.126559139784945,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-03-01,Paradip Port,MR Tanker,3.97,0.87,2021-03-01,35.54107514009293,31,39.09290322580645,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-03-01,V.O. Chidambaranar Port (Tuticorin / VOC Port),MR Tanker,6.87,1.68,2021-03-01,87.71392671775196,93,22.73537634408602,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-03-01,V.O. Chidambaranar Port (Tuticorin / VOC Port),Supramax,5.2,1.31,2021-03-01,57.61339469725031,31,18.29516129032258,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-03-01,Visakhapatnam Port (Vizag),Capesize,4.49,1.11,2021-03-01,44.87682665184043,31,21.81709677419355,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-03-01,Visakhapatnam Port (Vizag),MR Tanker,5.44,1.27,2021-03-01,61.863153624007815,62,30.478064516129034,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-03-01,Visakhapatnam Port (Vizag),Panamax,6.84,1.66,2021-03-01,87.0345984824559,93,23.992473118279573,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-04-01,Chennai Port,MR Tanker,6.89,1.73,2021-04-01,87.97990079143109,90,18.363111111111113,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-04-01,Chennai Port,Panamax,5.58,1.36,2021-04-01,64.38986431991492,60,23.215666666666667,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-04-01,Chennai Port,Supramax,6.69,1.62,2021-04-01,84.46325328870994,60,24.87066666666667,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-04-01,Kamarajar Port (Ennore),MR Tanker,5.46,1.3,2021-04-01,62.26746475697207,60,27.143166666666666,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-04-01,Kamarajar Port (Ennore),Panamax,4.36,1.05,2021-04-01,42.45409562854265,30,25.007,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-04-01,Kolkata / Haldia Dock Complex (HDC),Handysize,6.62,1.58,2021-04-01,83.20137198975509,90,27.205777777777776,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-04-01,Kolkata / Haldia Dock Complex (HDC),MR Tanker,6.44,1.47,2021-04-01,79.9947308225166,90,33.13966666666667,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-04-01,Paradip Port,Capesize,6.49,1.5,2021-04-01,80.73128858299809,90,31.776666666666667,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-04-01,Paradip Port,MR Tanker,3.88,0.84,2021-04-01,33.76365073873342,30,41.08866666666667,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-04-01,V.O. Chidambaranar Port (Tuticorin / VOC Port),MR Tanker,6.82,1.69,2021-04-01,86.74077610707009,90,20.65611111111111,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-04-01,V.O. Chidambaranar Port (Tuticorin / VOC Port),Supramax,4.98,1.21,2021-04-01,53.66785949075048,30,23.656333333333336,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-04-01,Visakhapatnam Port (Vizag),Capesize,4.26,1.01,2021-04-01,40.59639932532776,30,28.444666666666667,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-04-01,Visakhapatnam Port (Vizag),MR Tanker,5.46,1.3,2021-04-01,62.2885401441025,60,27.104166666666668,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-04-01,Visakhapatnam Port (Vizag),Panamax,6.64,1.59,2021-04-01,83.5318532739884,90,26.59422222222222,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-05-01,Chennai Port,MR Tanker,7.02,1.77,2021-05-01,90.34134822278845,93,17.873333333333335,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-05-01,Chennai Port,Panamax,5.7,1.41,2021-05-01,66.613395967302,62,21.687741935483874,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-05-01,Chennai Port,Supramax,6.86,1.67,2021-05-01,87.43861603613082,62,23.24483870967742,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-05-01,Kamarajar Port (Ennore),MR Tanker,5.7,1.4,2021-05-01,66.53172666316132,62,21.838870967741936,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-05-01,Kamarajar Port (Ennore),Panamax,4.57,1.14,2021-05-01,46.270172965600075,31,19.238709677419354,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-05-01,Kolkata / Haldia Dock Complex (HDC),Handysize,6.7,1.58,2021-05-01,84.60450814558857,93,28.48935483870968,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-05-01,Kolkata / Haldia Dock Complex (HDC),MR Tanker,6.6,1.53,2021-05-01,82.8809400919275,93,31.678817204301076,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-05-01,Paradip Port,Capesize,6.74,1.6,2021-05-01,85.23886160934076,93,27.315483870967743,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-05-01,Paradip Port,MR Tanker,4.26,1.0,2021-05-01,40.6655842837927,31,29.61,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-05-01,V.O. Chidambaranar Port (Tuticorin / VOC Port),MR Tanker,6.97,1.74,2021-05-01,89.50780416878777,93,19.415806451612905,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-05-01,V.O. Chidambaranar Port (Tuticorin / VOC Port),Supramax,5.18,1.3,2021-05-01,57.154756619995005,31,19.143870967741936,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-05-01,Visakhapatnam Port (Vizag),Capesize,4.2,0.97,2021-05-01,39.65173439503677,31,31.486129032258063,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-05-01,Visakhapatnam Port (Vizag),MR Tanker,5.69,1.4,2021-05-01,66.42268899029048,62,22.04064516129032,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-05-01,Visakhapatnam Port (Vizag),Panamax,6.66,1.56,2021-05-01,83.83767085868394,93,29.908387096774195,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-06-01,Chennai Port,MR Tanker,6.51,1.51,2021-06-01,81.09245226843841,90,31.108333333333334,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-06-01,Chennai Port,Panamax,5.34,1.24,2021-06-01,60.044641875010285,60,31.256500000000003,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-06-01,Chennai Port,Supramax,6.62,1.58,2021-06-01,83.2090876229353,60,27.1915,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-06-01,Kamarajar Port (Ennore),MR Tanker,5.41,1.28,2021-06-01,61.442012094363484,60,28.670666666666666,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-06-01,Kamarajar Port (Ennore),Panamax,4.14,0.95,2021-06-01,38.59261636431132,30,32.15266666666667,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-06-01,Kolkata / Haldia Dock Complex (HDC),Handysize,6.17,1.32,2021-06-01,74.9889360940922,90,42.40288888888889,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-06-01,Kolkata / Haldia Dock Complex (HDC),MR Tanker,6.15,1.32,2021-06-01,74.788930069786,90,42.773,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-06-01,Paradip Port,Capesize,6.11,1.29,2021-06-01,73.93216454567168,90,44.358444444444444,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-06-01,Paradip Port,MR Tanker,3.93,0.86,2021-06-01,34.80787312501643,30,39.156333333333336,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-06-01,V.O. Chidambaranar Port (Tuticorin / VOC Port),MR Tanker,6.68,1.61,2021-06-01,84.15150568192588,90,25.447555555555557,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-06-01,V.O. Chidambaranar Port (Tuticorin / VOC Port),Supramax,4.96,1.2,2021-06-01,53.36469815279735,30,24.217333333333332,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-06-01,Visakhapatnam Port (Vizag),Capesize,3.91,0.85,2021-06-01,34.34439473966087,30,40.014,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-06-01,Visakhapatnam Port (Vizag),MR Tanker,5.24,1.19,2021-06-01,58.39301602373739,60,34.31283333333333,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-06-01,Visakhapatnam Port (Vizag),Panamax,6.13,1.31,2021-06-01,74.41713862502353,90,43.461,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-07-01,Chennai Port,MR Tanker,6.41,1.42,2021-07-01,79.31619553808761,93,38.27537634408602,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-07-01,Chennai Port,Panamax,5.27,1.18,2021-07-01,58.92244855207384,62,35.919838709677414,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-07-01,Chennai Port,Supramax,6.34,1.38,2021-07-01,78.08360207378023,62,40.556290322580644,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-07-01,Kamarajar Port (Ennore),MR Tanker,5.18,1.14,2021-07-01,57.23868375229848,62,39.035645161290326,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-07-01,Kamarajar Port (Ennore),Panamax,3.96,0.87,2021-07-01,35.347579029962404,31,39.450967741935486,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-07-01,Kolkata / Haldia Dock Complex (HDC),Handysize,5.71,1.06,2021-07-01,66.77189501457231,93,61.48860215053763,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-07-01,Kolkata / Haldia Dock Complex (HDC),MR Tanker,5.89,1.14,2021-07-01,69.97753867934115,93,55.55655913978495,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-07-01,Paradip Port,Capesize,5.71,1.06,2021-07-01,66.70553688911613,93,61.611397849462364,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-07-01,Paradip Port,MR Tanker,3.49,0.68,2021-07-01,26.895634075297526,31,55.09129032258064,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-07-01,V.O. Chidambaranar Port (Tuticorin / VOC Port),MR Tanker,6.58,1.51,2021-07-01,82.43293558468838,93,32.50784946236559,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-07-01,V.O. Chidambaranar Port (Tuticorin / VOC Port),Supramax,4.65,1.04,2021-07-01,47.645904534049656,31,36.74,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-07-01,Visakhapatnam Port (Vizag),Capesize,3.63,0.73,2021-07-01,29.39225685844098,31,50.47129032258065,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-07-01,Visakhapatnam Port (Vizag),MR Tanker,4.7,0.92,2021-07-01,48.64815374578336,62,54.93241935483871,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-07-01,Visakhapatnam Port (Vizag),Panamax,5.72,1.06,2021-07-01,66.9016478115457,93,61.24849462365591,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-08-01,Chennai Port,MR Tanker,6.35,1.38,2021-08-01,78.237440197375,93,40.27161290322581,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-08-01,Chennai Port,Panamax,5.23,1.16,2021-08-01,58.08649306006403,62,37.46677419354839,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-08-01,Chennai Port,Supramax,6.41,1.42,2021-08-01,79.45576840791749,62,38.01709677419355,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-08-01,Kamarajar Port (Ennore),MR Tanker,5.11,1.1,2021-08-01,55.96483436060592,62,41.39290322580646,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-08-01,Kamarajar Port (Ennore),Panamax,3.92,0.85,2021-08-01,34.47388308043615,31,41.067741935483866,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-08-01,Kolkata / Haldia Dock Complex (HDC),Handysize,5.8,1.1,2021-08-01,68.38360720877354,93,58.50612903225806,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-08-01,Kolkata / Haldia Dock Complex (HDC),MR Tanker,5.66,1.03,2021-08-01,65.79598895762275,93,63.29451612903226,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-08-01,Paradip Port,Capesize,5.61,1.01,2021-08-01,65.0,93,67.82806451612903,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-08-01,Paradip Port,MR Tanker,3.2,0.58,2021-08-01,21.666666666666668,31,69.00419354838711,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-08-01,V.O. Chidambaranar Port (Tuticorin / VOC Port),MR Tanker,6.58,1.51,2021-08-01,82.36163836933397,93,32.63978494623656,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-08-01,V.O. Chidambaranar Port (Tuticorin / VOC Port),Supramax,4.7,1.06,2021-08-01,48.52814220375284,31,35.107419354838704,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-08-01,Visakhapatnam Port (Vizag),Capesize,3.2,0.58,2021-08-01,21.666666666666668,31,65.11935483870968,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-08-01,Visakhapatnam Port (Vizag),MR Tanker,4.7,0.92,2021-08-01,48.56064469417478,62,55.09435483870968,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-08-01,Visakhapatnam Port (Vizag),Panamax,5.77,1.08,2021-08-01,67.80160809794253,93,59.58311827956989,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-09-01,Chennai Port,MR Tanker,6.34,1.42,2021-09-01,78.06456160686173,90,36.711444444444446,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-09-01,Chennai Port,Panamax,5.02,1.08,2021-09-01,54.410578447898494,60,41.68233333333333,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-09-01,Chennai Port,Supramax,6.23,1.36,2021-09-01,76.09686499247033,60,40.352666666666664,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-09-01,Kamarajar Port (Ennore),MR Tanker,5.0,1.07,2021-09-01,54.00987589514939,60,42.42383333333333,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-09-01,Kamarajar Port (Ennore),Panamax,3.85,0.83,2021-09-01,33.34700654700104,30,41.85966666666666,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-09-01,Kolkata / Haldia Dock Complex (HDC),Handysize,5.7,1.09,2021-09-01,66.54965457854675,90,58.019777777777776,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-09-01,Kolkata / Haldia Dock Complex (HDC),MR Tanker,5.64,1.06,2021-09-01,65.43217870993004,90,60.08766666666667,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-09-01,Paradip Port,Capesize,5.49,0.99,2021-09-01,62.903225806451616,90,67.763,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
